Bluetooth,P_x,P_y,P_z,O_x,O_y,O_z
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13281164 -0.13384655 -0.18713942 -0.14088503  0.08242222 -0.98658907]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13094239 -0.13338095 -0.20186507 -0.14444247  0.06739674 -0.9872153 ]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13104737 -0.13350558 -0.19928561 -0.12912239  0.04651506 -0.99053711]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12753272 -0.13318107 -0.19551965 -0.15076195  0.06000443 -0.98674733]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12800841 -0.13390607 -0.19218817 -0.17470286  0.07284303 -0.98192301]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.128475   -0.13214442 -0.19568417 -0.15991326  0.10313563 -0.98172847]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12814432 -0.12611124 -0.20524064 -0.19453136  0.12366955 -0.97306906]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.1296867  -0.12352791 -0.2137096  -0.18547625  0.09708581 -0.97784094]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12927733 -0.12160856 -0.21918511 -0.12011694  0.09797172 -0.98791369]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12835901 -0.11985382 -0.21339944 -0.15767502  0.10015544 -0.98239884]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12896545 -0.12194043 -0.19735826 -0.21138265  0.06492902 -0.97524438]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.12894991 -0.12366197 -0.1864318  -0.17497557  0.08373568 -0.98100555]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13014138 -0.1236569  -0.17486595 -0.15861367  0.09887577 -0.98237736]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13081681 -0.12366006 -0.1693248  -0.1216746   0.0885377  -0.98861336]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13212063 -0.12440863 -0.16781806 -0.07942154  0.1044747  -0.99135123]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13224007 -0.12428626 -0.1705587  -0.06434551  0.08753036 -0.99408153]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13328414 -0.12756109 -0.16786815 -0.14493183  0.06986478 -0.98697197]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13693216 -0.12779495 -0.1602068  -0.09728924  0.07891709 -0.99212242]
b'\x00\x00\x01\x00\x02\x00\x03\x00\x04\x00\x05\x00\x06\x00',[ 0.13737638 -0.13029876 -0.16121833 -0.09972907  0.08240896 -0.99159612]
