"[array([ 0.05709387, -0.17664   , -0.30257453]), array([-0.46641362, -0.01484558, -0.88444217])]"
"[array([ 0.06017997, -0.1717104 , -0.30547716]), array([-0.50478985, -0.07186088, -0.86024602])]"
"[array([ 0.05955154, -0.17001227, -0.30343227]), array([-0.50577819, -0.04707974, -0.86137792])]"
"[array([ 0.05917242, -0.17294413, -0.30270085]), array([-0.48323703, -0.04709463, -0.87422198])]"
"[array([ 0.05806015, -0.17145047, -0.30627304]), array([-0.49883018, -0.04292655, -0.86563605])]"
"[array([ 0.05954163, -0.16891927, -0.30674436]), array([-0.47820919, -0.02300361, -0.87794465])]"
"[array([ 0.06067768, -0.16691318, -0.30468161]), array([-0.48256984, -0.02260538, -0.87556573])]"
"[array([ 0.05652633, -0.16627634, -0.30794562]), array([-0.46249051, -0.00853749, -0.88658313])]"
"[array([ 0.05929085, -0.16635412, -0.30742038]), array([-0.43879231, -0.01221282, -0.89850551])]"
"[array([ 0.04398005, -0.16610193, -0.31485154]), array([-3.57029532e-01,  6.81300804e-04, -9.34092848e-01])]"
"[array([ 0.04282761, -0.16929799, -0.29590558]), array([-0.15272555,  0.09859522, -0.98333814])]"
"[array([ 0.04545443, -0.16925997, -0.29969238]), array([-0.15128474,  0.1329483 , -0.9795089 ])]"
"[array([ 0.04618173, -0.16846454, -0.30050933]), array([-0.15218847,  0.14988058, -0.97692092])]"
"[array([ 0.05730533, -0.16815048, -0.30496088]), array([-0.13877114,  0.13717392, -0.9807782 ])]"
"[array([ 0.05878088, -0.16811636, -0.31148335]), array([-0.13701242,  0.13760579, -0.98096496])]"
"[array([ 0.06097737, -0.16823629, -0.30648378]), array([-0.14489822,  0.1350594 , -0.98018542])]"
"[array([ 0.06006503, -0.16771567, -0.30255471]), array([-0.15298358,  0.12527671, -0.98025597])]"
"[array([ 0.06010699, -0.16294363, -0.29676498]), array([-0.13644365,  0.14742204, -0.97961721])]"
"[array([ 0.0627889 , -0.16328639, -0.29812181]), array([-0.15946767,  0.14368585, -0.97669055])]"
"[array([ 0.06480134, -0.1609531 , -0.2989096 ]), array([-0.15598608,  0.14232061, -0.9774524 ])]"
"[array([ 0.07541145, -0.1608412 , -0.29079409]), array([-0.15293607,  0.13116405, -0.97949301])]"
"[array([ 0.07554749, -0.16022292, -0.29913877]), array([-0.15760372,  0.13683899, -0.97797554])]"
"[array([ 0.08026578, -0.15301234, -0.2925043 ]), array([-0.16553433,  0.12252804, -0.97856286])]"
"[array([ 0.08713152, -0.16927665, -0.28527509]), array([-0.20985313,  0.00736792, -0.97770516])]"
"[array([ 0.09394196, -0.16466051, -0.28207773]), array([-0.21763124,  0.0066612 , -0.97600834])]"
"[array([ 0.0907815 , -0.14890698, -0.27955559]), array([-0.12510524,  0.09214635, -0.98785511])]"
"[array([ 0.09940479, -0.13864067, -0.26549062]), array([-0.15125174, -0.10093887, -0.98332815])]"
"[array([ 0.09181314, -0.12758464, -0.26064497]), array([-0.19239807, -0.26110012, -0.94594382])]"
"[array([ 0.08316457, -0.12970176, -0.2486816 ]), array([-0.22472701, -0.05178106, -0.97304496])]"
"[array([ 0.05978966, -0.12698522, -0.2493999 ]), array([0.17379378, 0.72074894, 0.6710564 ])]"
"[array([ 0.04826757, -0.11867633, -0.256602  ]), array([-0.30057376, -0.26054264, -0.91748185])]"
"[array([ 0.0502177 , -0.10755011, -0.25747515]), array([-0.07418684,  0.24184829, -0.96747388])]"
"[array([ 0.0539339 , -0.11028036, -0.25504929]), array([-0.10416053, -0.08312752,  0.99108042])]"
"[array([ 0.07003362, -0.14105892, -0.27234024]), array([ 0.17030691,  0.26054538, -0.95032187])]"
"[array([ 0.08396653, -0.1556485 , -0.2841924 ]), array([ 0.03448538,  0.08714548, -0.99559852])]"
"[array([ 0.08730001, -0.17285183, -0.28507817]), array([ 0.01231992,  0.07288626, -0.99726416])]"
"[array([ 0.09059256, -0.1942412 , -0.2900314 ]), array([-0.71011341, -0.13812025,  0.69040694])]"
"[array([ 0.09038436, -0.20944393, -0.28412946]), array([-0.56228744, -0.09132226,  0.82188386])]"
"[array([ 0.08955764, -0.20767322, -0.28973879]), array([-0.52344874, -0.07339268,  0.84889041])]"
"[array([ 0.0833774 , -0.21554983, -0.28961292]), array([-0.53462331, -0.07281599,  0.84194759])]"
"[array([ 0.09108548, -0.2169725 , -0.28032418]), array([-0.50567569, -0.06581786,  0.86020934])]"
"[array([ 0.09077654, -0.2126103 , -0.30010048]), array([-0.50203294, -0.06580701,  0.86234121])]"
"[array([ 0.09208357, -0.22293085, -0.29126443]), array([-0.50113624, -0.07685153,  0.86194913])]"
"[array([ 0.09379283, -0.22364104, -0.29051885]), array([-0.51358687, -0.06929699,  0.85523473])]"
"[array([ 0.09317006, -0.21979925, -0.288748  ]), array([-0.49143327, -0.06999006,  0.86809834])]"
"[array([ 0.09415577, -0.22630328, -0.28686076]), array([-0.50943174, -0.07311438,  0.85739931])]"
"[array([ 0.09404   , -0.22278297, -0.28932369]), array([-0.49854197, -0.06666362,  0.86429848])]"
"[array([ 0.09423526, -0.22104788, -0.28381044]), array([-0.51841005, -0.0651288 ,  0.85264838])]"
"[array([ 0.09844264, -0.22144669, -0.28064676]), array([-0.54715209, -0.05222279,  0.83540252])]"
"[array([ 0.10244632, -0.22063002, -0.28916816]), array([-0.55660979, -0.04611433,  0.82949322])]"
"[array([ 0.10968802, -0.21731642, -0.28931394]), array([-0.5420679 , -0.09887735,  0.83449725])]"
"[array([ 0.11290823, -0.21149006, -0.28598996]), array([-0.56142966, -0.05370661,  0.82577984])]"
"[array([ 0.1142057 , -0.22123873, -0.27980156]), array([-0.55944354, -0.056314  ,  0.82695324])]"
"[array([ 0.11291   , -0.2175869 , -0.27714572]), array([-0.55592556, -0.0361306 ,  0.83044648])]"
"[array([ 0.11672485, -0.21762502, -0.27116094]), array([-0.52333715, -0.1111222 ,  0.84484915])]"
"[array([ 0.11218647, -0.21630394, -0.27392603]), array([-0.61234436, -0.04905159,  0.78906801])]"
"[array([ 0.10850504, -0.21249267, -0.27584296]), array([-0.53507225, -0.10893591,  0.83775334])]"
"[array([ 0.10411441, -0.21146694, -0.27250476]), array([-0.64199834, -0.04139007,  0.765588  ])]"
"[array([ 0.09609588, -0.2107026 , -0.27741661]), array([-0.67945509,  0.00381395,  0.73370719])]"
"[array([ 0.0934339 , -0.20705873, -0.27802607]), array([-0.59567537, -0.03695891,  0.80237454])]"
"[array([ 0.08276889, -0.20952439, -0.27965474]), array([-0.64535642, -0.07230158,  0.76045221])]"
"[array([ 0.07505757, -0.20889416, -0.27550662]), array([-0.79383914, -0.00715217,  0.60808574])]"
